ID,诗名,花名,top10_count,imagery_count,imagery_ratio,nature_count,culture_count,action_count,imagery_tokens,non_imagery_tokens
756,白秋海棠,秋海棠,10,7,0.7,7,0,0,露、花、霜、秋、风、月、水,帘、独、芳
749,咏槿花,木槿,10,2,0.2,1,1,0,雨、诗,丹、贾、朝、岛、荣、旧、火、僧
782,同儿曹赋芦花,芦花,10,5,0.5,5,0,0,花、风、月、雨、天,帽、渚、色、园、泽
747,槿,木槿,10,3,0.3,3,0,0,花、露、夏,蕊、耳、夕、含、妒、萱、色
746,白槿花,木槿,10,2,0.2,2,0,0,云、花,碧、玉、影、婵、清、肿、万、木
760,蝶恋花,秋海棠,10,1,0.1,1,0,0,蝶,烟、墙、萝、浪、脂、位、窗、蜂、宵
748,槿 花(其-),木槿,10,4,0.4,4,0,0,香、云、风、花,岛、商、鸡、和、啼、坷
764,蓼 花,蓼花,10,2,0.2,2,0,0,秋、夏,砌、檐、虞、茎、绿、那、媚、秀
783,芦 花,芦花,10,5,0.5,5,0,0,风、江、天、香、雪,岸、洲、树、琼、摵
789,金钗股,金银花,10,2,0.2,2,0,0,云、香,烟、韵、士、胎、鬟、含、鬓、翠
791,曼陀罗,曼陀罗,10,2,0.2,2,0,0,露、天,房、翠、烟、梦、昂、金、调、圃
768,迷仙引,蓼花,10,5,0.5,5,0,0,香、水、寒、雨、雪,荷、洲、葵、冷、绿
770,水龙吟蓼花,蓼花,10,2,0.2,2,0,0,香、花,阳、婀、烟、珞、玲、冷、娜、虹
774,题画鸡冠花,鸡冠花,10,2,0.2,2,0,0,云、霜,斗、血、五、华、声、独、处、陵
781,紫 薇,紫薇,10,4,0.4,2,1,1,天、花、楼、落,钟、霞、清、浸、鼓、樽
800,八月十七日天竺山送桂花分贈元素,桂花,10,3,0.3,3,0,0,峰、涧、月,堂、清、裓、夜、介、裙、纫
804,东城桂,桂花,10,4,0.4,3,0,1,根、风、天、落,城、堕、盘、竺、生、闾
817,古香慢,桂花,10,5,0.5,5,0,0,雨、月、云、柳、竹,浩、藓、阳、佩、粟
824,菩萨蛮,秋葵,10,2,0.2,2,0,0,露、云,是、道、洗、一、清、染、然、便
827,滴滴金,滴滴金,10,5,0.5,5,0,0,花、风、月、露、秋,星、芽、人、娥、锁
829,咏金钱花,金钱花,10,1,0.1,1,0,0,秋,物、名、树、光、豪、将、门、佳、芳
832,蘋 花,蘋花,0,0,0.0,0,0,0,,
857,晚香轩,菊花,10,3,0.3,3,0,0,花、风、雨,蜡、沙、采、醪、株、屐、白
856,晚香轩,菊花,10,4,0.4,4,0,0,山、风、寒、雨,阳、轩、圃、苔、篱、赋
798,岩 桂,桂花,10,6,0.6,6,0,0,花、山、枝、叶、云、桂,玉、岩、薰、犀
853,刘员外寄移菊,菊花,0,0,0.0,0,0,0,,
796,桂 花,桂花,10,3,0.3,3,0,0,花、月、桂,园、帘、梦、绳、夜、鸭、金
850,九 日,菊花,10,5,0.5,4,1,0,寒、菊、花、云、酒,阳、载、园、忽、沙
793,咏 桂,桂花,10,5,0.5,5,0,0,霜、叶、桂、桃、山,李、人、园、金、绿
792,春桂问答二首,桂花,10,2,0.2,2,0,0,桂、风,独、何、事、处、否、钜、正、答
813,霜天晓角,桂花,10,3,0.3,3,0,0,香、露、月,犹、洁、清、听、护、声、庭
839,墨菊二首(其二),菊花,10,3,0.3,3,0,0,香、桃、菊,堂、李、不、人、世、掬、见
903,绛都春,雁来红,10,3,0.3,2,1,0,雁、叶、灯,洒、蓼、筝、凉、泪、旎、摺
840,采菊篇,菊花,10,3,0.3,3,0,0,山、露、菊,方、筐、骑、妍、精、驹、阳
899,南乡子,菊花,10,4,0.4,2,0,2,蝶、花、落、空,翠、怨、篱、阳、须、愁
841,山园草间菊数枝开，席地独酌,菊花,10,1,0.1,1,0,0,花,畦、耳、觞、尺、扫、碎、金、蔓、藉
837,菊 花,菊花,10,3,0.3,3,0,0,花、霜、枝,节、嗅、标、芬、觞、秦、渊
843,万年厉员外宅赏残菊,菊花,10,6,0.6,5,0,1,香、蝶、雨、霜、寒、醉,阳、心、更、宅
847,八月二十八日子容过对菊,菊花,10,4,0.4,4,0,0,雨、花、蝉、风,堂、阳、坤、西、节、意
835,舟上采菊,菊花,10,4,0.4,2,2,0,寒、菊、酒、诗,洲、黄、有、夜、霏、更
898,鹪鸪天,菊花,10,2,0.2,1,0,1,霜、醉,篱、阮、眼、潜、偷、武、九、雾
834,饮 酒（其五）,菊花,10,2,0.2,1,0,1,山、飞,篱、心、庐、车、气、佳、马、人
833,和郭主簿二首(其二),菊花,10,5,0.5,5,0,0,霜、峰、松、风、菊,三、岩、泽、贞、陵
