row_idx,ID,诗名,花名,朝代
646,620,采莲,莲花,南朝梁
647,621,采莲曲,莲花,南朝梁
648,622,咏江南可采莲,莲花,南朝梁
649,623,赋得涉江采芙蓉,莲花,南朝陈
650,624,咏同心芙蓉,莲花,隋
651,625,采莲曲,莲花,隋
652,626,秋池一株莲,莲花,隋
653,627,古 风(其二十六),莲花,唐
654,628,折荷有赠,莲花,唐
655,629,子夜吴歌(其二),莲花,唐
656,630,越 女,莲花,唐
657,631,东林寺白莲,莲花,唐
658,632,京兆府新栽莲·,莲花,唐
659,633,与王郎昆仲及儿子迈绕城观荷,莲花,宋
660,634,荷花,莲花,宋
661,635,玉井事观荷,荷花,宋
662,636,采莲曲,荷花,金
663,637,观鑫,荷花,清
664,638,采莲曲,荷花,唐
665,639,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,荷花,唐
666,640,古 意,荷花,唐
667,641,赠荷花,荷花,唐
668,642,张静婉采莲曲,荷花,唐
669,643,古采莲,荷花,元
670,644,莲塘曲,荷花,元
671,645,徐两山寄莲花,荷花,明
672,646,晚 莲,荷花,唐
673,647,莲塘霁望,荷花,唐
674,648,新荷出水,荷花,宋
675,649,三益堂芙蓉,荷花,元
676,650,并·蒂莲花,荷花,明
677,651,芙藻,荷花,晋
678,652,曲池荷,荷花,唐
679,653,莲 叶,荷花,唐
680,654,芙 蓉,荷花,唐
681,655,白 莲,木芙蓉,宋
682,656,莲 塘,木芙蓉,宋
683,657,和文与可菡萏轩,木芙蓉,宋
684,658,采莲曲,木芙蓉,明
685,659,采莲曲,木芙蓉,明
686,660,秋 荷,木芙蓉,清
687,661,采莲曲二首(其二),木芙蓉,唐
688,662,莲 叶,木芙蓉,唐
689,663,白 莲,木芙蓉,唐
690,664,采 莲,木芙蓉,五代
691,665,雨中荷花,木芙蓉,宋
692,666,荷 叶,木芙蓉,宋
693,667,荷 花,木芙蓉,宋
694,668,横 湖,荷花,宋
695,669,晓出净慈寺送林子方,荷花,宋
696,670,再赋郡沼双莲,荷花,宋
697,671,立秋后二日泛舟越来溪,荷花,宋
698,672,荷 花,荷花,宋
699,673,梦行荷花万顷中,荷花,宋
700,674,荷 亭,荷花,宋
701,675,新 荷,荷花,宋
702,676,荷 叶,荷花,宋
703,677,荷 花,荷花,金
704,678,荷叶露,荷花,金
705,679,藕 花,荷花,明
706,680,再过露筋祠,荷花,清
707,681,芙 蓉,荷花,清
708,682,临平道中看荷花，同朱冰壑、陈渔沂,木芙蓉,清
709,683,如梦令,木芙蓉,宋
710,684,乌夜啼,木芙蓉,宋
711,685,昭君怨,木芙蓉,宋
712,686,采桑子,木芙蓉,宋
713,687,菩萨蛮,木芙蓉,宋
714,688,清平乐,木芙蓉,宋
715,689,摊破浣溪沙,木芙蓉,五代
716,690,太常引,木芙蓉,元
717,691,鹪鸪天,木芙蓉,金
718,692,，荷叶杯,木芙蓉,清
