ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
314,和王拱辰观梨花,梨花,天|泉|松径|沙,清流|银阙|森森|沙|天,人|天|寒|晓|沙|流|玉|芳|银|雪|霜|香,天|沙,森森|清流|银阙,人|寒|晓|流|玉|芳|银|雪|霜|香,2,4,5,12
315,梨 花,梨花,雨|秋|中秋|祥云|七夕|春,青女|冷透肌|霏微|来往|金梭|春|雨,冷|春|流|玉|莺|金|雨,春|雨,冷透肌|来往|金梭|霏微|青女,冷|流|玉|莺|金,2,6,7,7
316,梨花二首,梨花,冬雨|新秋|春寒|云|秋风|日|风,晚风|脉脉|剪剪|漠漠|萧索|带雨|日|风,冷|寒|日|枝|玉|蝴蝶|行人|雨|雪|风|香,日|风,剪剪|带雨|晚风|漠漠|脉脉|萧索,冷|寒|枝|玉|蝴蝶|行人|雨|雪|香,2,7,8,11
317,梨 花,梨花,寒食雨|清明|风,桃李|清明|风,桃|清明|雪|风|香,清明|风,桃李,桃|雪|香,2,3,3,5
318,宫 词,梨花,春|石桥|春色|春寒|风,梨花|玉栏|春色|沉沉|风,春色|梨花|玉|风|香,春色|梨花|风,沉沉|玉栏,玉|香,3,5,5,5
319,梨 花,梨花,春风|园|候|春|月,春风|杨柳|长亭|梨花|月,春风|月|杨柳|梨花|相思|酒|长亭|马,春风|月|杨柳|梨花|长亭,,相思|酒|马,5,5,5,8
320,梨 花,梨花,清明|风|海,清明|风|海,暖|枝|流|海棠|清明|芳|雪|风|香,清明|风,海,暖|枝|流|海棠|芳|雪|香,2,3,3,9
321,梨 花,梨花,雨|清明|探春|秋风|春|江,花落|霏霏|蝴蝶梦|云飞|雨|春|江,云|客|春|江南|渚|相思|花落|蝴蝶|雨,春|花落|雨,云飞|江|蝴蝶梦|霏霏,云|客|江南|渚|相思|蝴蝶,3,6,7,9
322,玉楼春,梨花,月|寒食|春日|祥云|江湖|夜雨,寂寞|寒食|蝶飞|秋千|来往|黄昏|夜雨|月,夜|夜雨|寂寞|寒|愁|月|梅|玉|秋|蝴蝶|雪|香|黄昏,夜雨|寂寞|月|黄昏,寒食|来往|秋千|蝶飞,夜|寒|愁|梅|玉|秋|蝴蝶|雪|香,4,6,8,13
323,玉 兰,玉兰,曝日|石洞|悲秋|春日书怀|新秋|暮冬|天,素娥|仙子|月冷|别院|晚风|江梅|天,冷|天|恨|月|梅|江|燕|玉|空|雪|风|香,天,仙子|别院|晚风|月冷|江梅|素娥,冷|恨|月|梅|江|燕|玉|空|雪|风|香,1,7,7,12
324,题玉兰,玉兰,松径|上元|日影,引风|银花|隔帘,人|帘|玉|花|银|雪|风|香,,引风|银花|隔帘,人|帘|玉|花|银|雪|风|香,0,3,3,8
325,雪中玉兰盛开,玉兰,莲塘|祥云,仙女|纷纷,寒|根|玉|花|雪,,仙女|纷纷,寒|根|玉|花|雪,0,2,2,5
326,大风惜玉兰花,玉兰,重九|池|烟|风,年年|池|烟|风,杯|柳|烟|花|苦|辛夷|雪|风,烟|风,年年|池,杯|柳|花|苦|辛夷|雪,2,4,4,8
327,东风第一枝,玉兰,清明|残星|候|月|云|春色|端午|雨|风|水|雾,风光|盈盈|亭亭|皎洁|一片|花光|龙镜|雨|风|水|雾,亭|杏|枝|桃|楼|水|玉楼|空|细雨|花|蜂|蝶|镜|雾|风|龙,水|雾|风,一片|亭亭|皎洁|盈盈|花光|雨|风光|龙镜,亭|杏|枝|桃|楼|玉楼|空|细雨|花|蜂|蝶|镜|龙,3,11,11,16
328,月季花,月季,上元|烟|月,踏歌|烟|月,台|夕|岸|月|杯|梅|烟|花|芳|菊|金|雪|霜,月|烟,踏歌,台|夕|岸|杯|梅|花|芳|菊|金|雪|霜,2,3,3,13
329,腊前月季,月季,日|春风|莲塘|寒食雨|冬,日|春风|翡翠|桃李|冬,冬|喜|日|春风|晨|桃|梅|笔|花|雪|霜|香,冬|日|春风,桃李|翡翠,喜|晨|桃|梅|笔|花|雪|霜|香,3,5,5,12
330,长春花,月季,春径|远山|霞|寒食雨|新秋|上元|雨|风|月,春光|云外|日边|桃李|梧桐|处处|雨|风|月,云|人|叶|日|春|月季|枝|桃|梧桐|流|笔|翁|花|酒|雨|风,梧桐|雨|风,云外|处处|日边|春光|月|桃李,云|人|叶|日|春|月季|枝|桃|流|笔|翁|花|酒,3,9,9,16
331,月季花,月季,春归|雪晴|祥云|渡|月|雨,春归|凭栏|东西|南北|月|雨,凭栏|客|春|月季|花|雨,凭栏|雨,东西|南北|春归|月,客|春|月季|花,2,6,6,6
332,东厅月季,月季,春风|天|春色,春风|四时|浅深红,怨|春风|牡丹|花|菊|露,春风,四时|浅深红,怨|牡丹|花|菊|露,1,3,3,6
333,长春花,月季,春,春,春|枝|牡丹,春,,枝|牡丹,1,1,1,3
334,月季花,月季,春|寒食雨|天|风,寒梅|桃李|天|风,人|天|寒|桃|梅|流|花|风,天|风,寒梅|桃李,人|寒|桃|梅|流|花,2,4,4,8
335,一落索,月季,虹|寒食雨|冬日|重九|天|园|春,窈窕|桃李|雪消|年年|天|园|春,叶|天|春|晓|枝|桃|花|雪|霜,天|春,园|年年|桃李|窈窕|雪消,叶|晓|枝|桃|花|雪|霜,2,7,7,9
336,更漏子,月季,春|春色|天|月影|泉声|月,春|浅深红|四时|不老|断续|月,客|春|月|玫瑰|花|芳|蔷薇|香,春|月,不老|四时|断续|浅深红,客|玫瑰|花|芳|蔷薇|香,2,6,6,8
337,绣球花次元颜廉使韵,绣球花,春寒|陂塘|夏夜|春|天|月,雪未干|杨花|夜凉|春|天|月,凉|夜|天|寒|春|月|杨花|绣球|蝴蝶|雪,天|春|月|杨花,夜凉|雪未干,凉|夜|寒|绣球|蝴蝶|雪,4,6,6,10
338,绣 球,绣球花,早春|泰山|江湖|如昼|夏夜,东风|琪树|清影|夜半|月明,东风|亭|人|冰|叶|墨|夜|月|花|雪,东风,夜半|月明|清影|琪树,亭|人|冰|叶|墨|夜|月|花|雪,1,5,5,10
339,绣 球,绣球,夏夜|风,明月|风,明月|花|风,明月|风,,花,2,2,2,3
340,素 馨,素馨,春郊|日|云|烟,幽花|日|云|烟,云|人|幽|日|烟|空|花|香,云|日|烟,幽花,人|幽|空|花|香,3,4,4,8
341,丑奴儿,素馨,早春|祥云|江|春,东风|纷纷|江|春,东风|凤|春|枝|梅|江南|雪,东风|春,江|纷纷,凤|枝|梅|江南|雪,2,4,4,7
342,菩萨蛮,素馨,冬雨|梅雨|春晴|竹溪|云|水,冰花|一番|花心|云影|云|水,云|人|冰|凉|帆|水|玉|花|露|香,云|水,一番|云影|冰花|花心,人|冰|凉|帆|玉|花|露|香,2,6,6,10
343,念奴娇,素馨,秋|天|风|秋风|夏|月|水|云,天|风|凉生|金茎露|夏|月|水|秋|云,云|人间|冰|凉|夏|天|愁|月|水|玉|秋|花|轩|酒|金|雪|露|风|香,云|夏|天|月|水|秋|风,凉生|金茎露,人间|冰|凉|愁|玉|花|轩|酒|金|雪|露|香,7,8,9,19
344,剪春罗,剪春罗,冬日即事|春日书怀|罗,风刀|春光老|罗,刀|春|风,,春光老|罗|风刀,刀|春|风,0,3,3,3
345,剪春罗,剪春罗,春风|月,春风|月,刀|春风|月|花,春风|月,,刀|花,2,2,2,4
