词,C3,C3_zh,C2,C1,词长
大摇大摆,criticize,批判指责,disgust,negative,4
大放厥词,criticize,批判指责,disgust,negative,4
大权旁落,criticize,批判指责,disgust,negative,4
大相径庭,criticize,批判指责,disgust,negative,4
大谬不然,criticize,批判指责,disgust,negative,4
大逆不道,criticize,批判指责,disgust,negative,4
天下大乱,criticize,批判指责,disgust,negative,4
失道寡助,criticize,批判指责,disgust,negative,4
头破血流,criticize,批判指责,disgust,negative,4
头重脚轻,criticize,批判指责,disgust,negative,4
奇诡变幻,criticize,批判指责,disgust,negative,4
奢侈淫逸,criticize,批判指责,disgust,negative,4
奢华无度,criticize,批判指责,disgust,negative,4
好大喜功,criticize,批判指责,disgust,negative,4
好自为之,criticize,批判指责,disgust,negative,4
如出一辙,criticize,批判指责,disgust,negative,4
如意算盘,criticize,批判指责,disgust,negative,4
如狼似虎,criticize,批判指责,disgust,negative,4
如蝇逐臭,criticize,批判指责,disgust,negative,4
妒贤疾能,criticize,批判指责,disgust,negative,4
姑息养奸,criticize,批判指责,disgust,negative,4
委屈求全,criticize,批判指责,disgust,negative,4
姗姗来迟,criticize,批判指责,disgust,negative,4
威光四射,criticize,批判指责,disgust,negative,4
威风扫地,criticize,批判指责,disgust,negative,4
嫉恶如仇,criticize,批判指责,disgust,negative,4
嫉贤妒能,criticize,批判指责,disgust,negative,4
嬉笑怒骂,criticize,批判指责,disgust,negative,4
子虚乌有,criticize,批判指责,disgust,negative,4
孤芳自赏,criticize,批判指责,disgust,negative,4
孰视无睹,criticize,批判指责,disgust,negative,4
寻欢作乐,criticize,批判指责,disgust,negative,4
寻章摘句,criticize,批判指责,disgust,negative,4
寻花觅柳,criticize,批判指责,disgust,negative,4
寻花问柳,criticize,批判指责,disgust,negative,4
少不更事,criticize,批判指责,disgust,negative,4
尖酸刻薄,criticize,批判指责,disgust,negative,4
尸位素餐,criticize,批判指责,disgust,negative,4
尺寸之功,criticize,批判指责,disgust,negative,4
居功自傲,criticize,批判指责,disgust,negative,4
居心叵测,criticize,批判指责,disgust,negative,4
屡见不鲜,criticize,批判指责,disgust,negative,4
岂有此理,criticize,批判指责,disgust,negative,4
崎岖不平,criticize,批判指责,disgust,negative,4
左顾右盼,criticize,批判指责,disgust,negative,4
巧立名目,criticize,批判指责,disgust,negative,4
市井无赖,criticize,批判指责,disgust,negative,4
干枯乏味,criticize,批判指责,disgust,negative,4
平淡无味,criticize,批判指责,disgust,negative,4
平淡无奇,criticize,批判指责,disgust,negative,4
平铺直叙,criticize,批判指责,disgust,negative,4
年久失修,criticize,批判指责,disgust,negative,4
幸灾乐祸,criticize,批判指责,disgust,negative,4
庸庸碌碌,criticize,批判指责,disgust,negative,4
庸懦无能,criticize,批判指责,disgust,negative,4
异己分子,criticize,批判指责,disgust,negative,4
异想天开,criticize,批判指责,disgust,negative,4
弄巧成拙,criticize,批判指责,disgust,negative,4
引经据典,criticize,批判指责,disgust,negative,4
弦外之意,criticize,批判指责,disgust,negative,4
弦外之音,criticize,批判指责,disgust,negative,4
弱不禁风,criticize,批判指责,disgust,negative,4
弱肉强食,criticize,批判指责,disgust,negative,4
弹冠相庆,criticize,批判指责,disgust,negative,4
强人所难,criticize,批判指责,disgust,negative,4
当头棒喝,criticize,批判指责,disgust,negative,4
形同幽囚,criticize,批判指责,disgust,negative,4
形同虚设,criticize,批判指责,disgust,negative,4
形影相吊,criticize,批判指责,disgust,negative,4
形影自伤,criticize,批判指责,disgust,negative,4
徒劳无益,criticize,批判指责,disgust,negative,4
徒有其名,criticize,批判指责,disgust,negative,4
徒有空言,criticize,批判指责,disgust,negative,4
徒有虚名,criticize,批判指责,disgust,negative,4
得意忘形,criticize,批判指责,disgust,negative,4
得过且过,criticize,批判指责,disgust,negative,4
微不足道,criticize,批判指责,disgust,negative,4
心不在焉,criticize,批判指责,disgust,negative,4
心胸狭隘,criticize,批判指责,disgust,negative,4
忍无可忍,criticize,批判指责,disgust,negative,4
忍辱饮恨,criticize,批判指责,disgust,negative,4
忘乎其形,criticize,批判指责,disgust,negative,4
忘恩负义,criticize,批判指责,disgust,negative,4
怕硬欺软,criticize,批判指责,disgust,negative,4
性格内向,criticize,批判指责,disgust,negative,4
怨声载道,criticize,批判指责,disgust,negative,4
怨天尤人,criticize,批判指责,disgust,negative,4
恃才傲物,criticize,批判指责,disgust,negative,4
恍恍惚惚,criticize,批判指责,disgust,negative,4
恨之入骨,criticize,批判指责,disgust,negative,4
悠悠荡荡,criticize,批判指责,disgust,negative,4
