ID,sample_id,花名,月份,朝代,作者,诗名,top20_words,top5_preview
760,111,秋海棠,七月,清,龙启瑞,蝶恋花,"[[""有意"", 0.609], [""风吹"", 0.5813], [""佳人"", 0.5397]]",有意、风吹、佳人
748,112,木槿,七月,唐,李商隐,槿 花(其-),"[[""美好"", 0.4037], [""李商隐"", 0.4037], [""风力"", 0.4037], [""事物"", 0.3814], [""充满"", 0.3814], [""寄托"", 0.3641], [""人间"", 0.2962]]",美好、李商隐、风力、事物、充满
764,113,蓼花,七月,宋,宋祁,蓼 花,[],
783,114,芦花,七月,明,徐,芦 花,"[[""萧萧"", 1.0]]",萧萧
789,115,金银花,七月,清,王夫之,金钗股,"[[""香薰"", 0.7426], [""参差"", 0.6697]]",香薰、参差
791,116,曼陀罗,七月,宋,陈与义,曼陀罗,"[[""金钱"", 0.5318], [""不同"", 0.5024], [""不敢"", 0.5024], [""秋风"", 0.4609]]",金钱、不同、不敢、秋风
768,117,蓼花,七月,清,朱彝尊,迷仙引,"[[""飞来"", 0.53], [""相伴"", 0.5059], [""无限"", 0.5059], [""寂寞"", 0.4553]]",飞来、相伴、无限、寂寞
770,118,蓼花,七月,清,杨芳灿,水龙吟蓼花,"[[""花工"", 0.3463], [""风定"", 0.3463], [""珊瑚"", 0.3272], [""点缀"", 0.3272], [""婀娜"", 0.3272], [""相映"", 0.3124], [""如许"", 0.3124], [""玲珑"", 0.3002], [""幽姿"", 0.2811], [""江南"", 0.2732]]",花工、风定、珊瑚、点缀、婀娜
774,119,鸡冠花,七月,元,姚文奂,题画鸡冠花,"[[""独立"", 0.721], [""归来"", 0.693]]",独立、归来
781,120,紫薇,七月,宋,陆游,紫 薇,"[[""流落"", 0.7233], [""天涯"", 0.6905]]",流落、天涯
800,121,桂花,八月,宋,苏轼,八月十七日天竺山送桂花分贈元素,[],
804,122,桂花,八月,唐,白居易,东城桂,"[[""人间"", 1.0]]",人间
817,123,桂花,八月,宋,吴文英,古香慢,"[[""肠断"", 0.5503], [""满城"", 0.5199], [""细雨"", 0.477], [""重阳"", 0.4466]]",肠断、满城、细雨、重阳
824,124,秋葵,八月,宋,晏殊,菩萨蛮,"[[""金杯"", 1.0]]",金杯
827,125,滴滴金,八月,宋,陶弱,滴滴金,"[[""风吹"", 1.0]]",风吹
829,126,金钱花,八月,唐,罗隐,咏金钱花,"[[""相伴"", 1.0]]",相伴
832,127,蘋花,八月,清,岑霁,蘋 花,[],
857,128,菊花,八月,明,陈宪章,晚香轩,"[[""黄花"", 0.4166], [""老子"", 0.4166], [""采采"", 0.4166], [""独立"", 0.3757], [""细雨"", 0.3611], [""开花"", 0.3381], [""西风"", 0.3056]]",黄花、老子、采采、独立、细雨
856,129,菊花,八月,明,高启,晚香轩,"[[""向晚"", 0.5328], [""风霜"", 0.5328], [""秋色"", 0.4721], [""重阳"", 0.4577]]",向晚、风霜、秋色、重阳
