ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
955,182,红梅,十一月,清,龚自珍,种红梅一株于竹下赋此,0.1173,0.0013,0.0013,0.4652,0.2997,0.1138,0.0013,3,0.4652
953,183,红梅,十一月,明,李东阳,题延平刘郎中廷信所藏红梅,0.0021,0.0021,0.0021,0.0021,0.9875,0.0021,0.0021,4,0.9875
952,184,红梅,十一月,元,王冕,红梅四首(其二),0.2586,0.0013,0.0013,0.0013,0.6623,0.0737,0.0013,4,0.6623
974,185,水仙花,十二月,明,文征明,水 仙,0.002,0.002,0.002,0.9552,0.0348,0.002,0.002,3,0.9552
999,186,瑞香,十二月,宋,苏轼,西江月,0.0018,0.6846,0.2696,0.0018,0.0018,0.0387,0.0018,1,0.6846
997,187,瑞香,十二月,宋,朱淑真,咏瑞香,0.0019,0.9888,0.0019,0.0019,0.0019,0.0019,0.0019,1,0.9888
996,188,瑞香,十二月,宋,杨万里,瑞香花新开(五首之一),0.0018,0.7924,0.0018,0.0018,0.1985,0.0018,0.0018,1,0.7924
995,189,瑞香,十二月,宋,范成大,瑞香花,0.0023,0.6355,0.0023,0.0023,0.1407,0.2147,0.0023,1,0.6355
961,190,水仙花,十二月,宋,黄庭坚,王充道送水仙花五十枝,0.0763,0.0014,0.0014,0.6673,0.0409,0.2112,0.0014,3,0.6673
962,191,水仙花,十二月,宋,刘克庄,水仙花,0.0016,0.0016,0.0016,0.5472,0.0016,0.4449,0.0016,3,0.5472
987,192,蜡梅,十二月,宋,黄庭坚,戏咏蜡梅二首,0.4023,0.3811,0.0022,0.0022,0.0783,0.0022,0.1318,0,0.4023
985,193,蜡梅,十二月,宋,苏轼,蜡梅一首贈赵景貺,0.0025,0.5469,0.0025,0.0025,0.4405,0.0025,0.0025,1,0.5469
986,194,蜡梅,十二月,宋,陆游,荀秀才送蜡梅十枝奇甚为赋此诗,0.2956,0.0016,0.0016,0.0016,0.3562,0.3416,0.0016,4,0.3562
984,195,水仙花,十二月,宋,辛弃疾,贺新郎,0.0013,0.0426,0.0013,0.9203,0.0321,0.0013,0.0013,3,0.9203
983,196,水仙花,十二月,宋,王沂孙,庆宫春,0.1178,0.0016,0.0523,0.8236,0.0016,0.0016,0.0016,3,0.8236
982,197,水仙花,十二月,宋,高观国,金人捧露盘,0.0012,0.0012,0.0012,0.6583,0.1461,0.1909,0.0012,3,0.6583
979,198,水仙花,十二月,宋,无名氏,菩萨蛮,0.0025,0.0025,0.0025,0.6143,0.0025,0.3731,0.0025,3,0.6143
975,199,水仙,十二月,清,陶孚尹,水仙花,0.0014,0.0014,0.0014,0.9917,0.0014,0.0014,0.0014,3,0.9917
