ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
974,185,水仙花,十二月,明,文征明,水 仙,0.0019,0.9884,0.0019,0.0019,0.0019,0.0019,0.0019,1,0.9884
999,186,瑞香,十二月,宋,苏轼,西江月,0.0018,0.3053,0.0018,0.0018,0.0018,0.6858,0.0018,5,0.6858
997,187,瑞香,十二月,宋,朱淑真,咏瑞香,0.0019,0.0019,0.0019,0.0019,0.0019,0.9884,0.0019,5,0.9884
996,188,瑞香,十二月,宋,杨万里,瑞香花新开(五首之一),0.0019,0.0019,0.0019,0.0019,0.0019,0.9888,0.0019,5,0.9888
995,189,瑞香,十二月,宋,范成大,瑞香花,0.0023,0.0365,0.0023,0.0023,0.0023,0.9521,0.0023,5,0.9521
961,190,水仙花,十二月,宋,黄庭坚,王充道送水仙花五十枝,0.0014,0.6075,0.0014,0.0224,0.0014,0.3645,0.0014,1,0.6075
962,191,水仙花,十二月,宋,刘克庄,水仙花,0.1345,0.5091,0.0016,0.0016,0.0016,0.3499,0.0016,1,0.5091
987,192,蜡梅,十二月,宋,黄庭坚,戏咏蜡梅二首,0.0023,0.1536,0.1233,0.0023,0.0023,0.5167,0.1996,5,0.5167
985,193,蜡梅,十二月,宋,苏轼,蜡梅一首贈赵景貺,0.0026,0.9843,0.0026,0.0026,0.0026,0.0026,0.0026,1,0.9843
986,194,蜡梅,十二月,宋,陆游,荀秀才送蜡梅十枝奇甚为赋此诗,0.0016,0.4336,0.0016,0.0016,0.1044,0.4557,0.0016,5,0.4557
984,195,水仙花,十二月,宋,辛弃疾,贺新郎,0.0014,0.8739,0.0014,0.0014,0.0014,0.1193,0.0014,1,0.8739
983,196,水仙花,十二月,宋,王沂孙,庆宫春,0.0021,0.4747,0.0021,0.5148,0.0021,0.0021,0.0021,3,0.5148
982,197,水仙花,十二月,宋,高观国,金人捧露盘,0.0014,0.7628,0.0014,0.0014,0.0014,0.2304,0.0014,1,0.7628
979,198,水仙花,十二月,宋,无名氏,菩萨蛮,0.0025,0.4086,0.2853,0.0025,0.0025,0.2963,0.0025,1,0.4086
975,199,水仙,十二月,清,陶孚尹,水仙花,0.0016,0.8958,0.0016,0.0016,0.0016,0.0962,0.0016,1,0.8958
